id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15040288,Superb loft de la Cité - 302,4252877,Nathalie,,Saint-Roch,46.81485,-71.22567,Entire home/apt,60,2,125,2020-09-08,2.34,6,87
15053573,Nice apartment to discover and enjoy Québec City !,95146129,Vincent,,Saint-Roch,46.81629,-71.22263,Entire home/apt,73,2,82,2020-03-08,1.64,1,0
15057113,"NEW 1 Private BR, private bathroom & living room",95186970,Renee,,Vieux-Moulin,46.85837,-71.22236,Private room,90,2,2,2019-09-29,0.12,1,365
15066225,Près de l'hôpital l'enfant-Jésus!,28754730,Julie,,Maizerets,46.83587,-71.22127,Entire home/apt,49,30,34,2018-01-02,0.64,7,347
15072219,Maison en rangée dans Saint-Sauveur,4599719,Cassiopée,,Saint-Sauveur,46.81119,-71.24214,Entire home/apt,200,1,26,2020-01-04,0.52,5,254
15082835,Maison à 10-15 minutes de tous les attraits,95436676,Brenda,,Quartier 4-2,46.89147,-71.28691,Entire home/apt,145,5,47,2020-08-31,0.89,1,192
15160211,"appart-studio dans un triplex neuf, tout inclus!",3927227,Paul,,Saint-Sacrement,46.79432,-71.25533,Entire home/apt,30,30,1,2018-12-22,0.04,3,224
15192608,"Charming, comfy, newly renovated, best location!",5250721,Sophie,,Saint-Roch,46.81265,-71.22286,Entire home/apt,90,2,260,2021-01-02,5.18,1,275
15255272,VINTAGE & CHARMING  APARTMENT IN THE CITY CENTER,38502801,Natalia,,Saint-Sauveur,46.80611,-71.23981,Entire home/apt,45,5,205,2021-01-03,3.87,1,0
15313497,Canadian traditional house,77335782,Sarah,,Vieux-Moulin,46.85386,-71.21541,Entire home/apt,170,3,10,2020-01-03,0.20,1,21
15359759,Cozy Green house near from down-town,98039786,Jonathan Ritchie,,Lairet,46.83586,-71.24624,Private room,44,1,30,2019-08-30,0.58,1,0
15467059,Loft au coeur des activités,15427139,Lyse,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81777,-71.2081,Entire home/apt,40,31,1,2018-01-22,0.03,3,365
15479464,Nid douillet entièrement rénové et fonctionnel,99371921,Suzanne,,L'Aéroport,46.77558,-71.36631,Entire home/apt,60,2,90,2020-03-12,1.72,1,129
15482950,APPART-HOTEL au coeur du Quartier historique (320),99404719,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81413,-71.21211,Entire home/apt,135,1,40,2020-11-01,0.77,3,330
15483428,APPART-HOTEL au coeur du quartier historique (330),99404719,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81474,-71.2139,Entire home/apt,125,2,70,2020-09-28,1.56,3,365
15536331,Comfy loft Downtown Quebec City,99944561,Pelletier,,Saint-Roch,46.81497,-71.22624,Entire home/apt,90,1,424,2021-01-03,8.09,2,359
15551756,Maison canadienne et piscine creusée,64434753,Kathleen,,Des Châtels,46.85375,-71.38127,Entire home/apt,200,7,2,2017-08-09,0.05,1,358
15551816,Lovely apartment downtown Quebec City (1-4 pers.),100098266,Cécile,,Saint-Roch,46.81305,-71.22603,Entire home/apt,115,1,380,2020-07-12,7.32,2,9
15589515,APPART-HOTEL au coeur du quartier historique (310),99404719,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81469,-71.21392,Entire home/apt,129,1,31,2020-09-07,0.62,3,351
15603520,"Québec, 3 1/2 près du centre-ville et de la nature",52588291,Éric,,Neufchâtel-Est/Lebourgneuf,46.83537,-71.31711,Entire home/apt,45,25,149,2020-03-15,2.95,1,40
15610296,"nouveau sur RBNB, Central,du cachet. Quartier hype",100645842,Céline Et Francois,,Vieux-Limoilou,46.82124,-71.22166,Entire home/apt,110,3,55,2020-02-16,1.06,1,269
